2019-05-29 15:28:31,609 - main - INFO - {'constellation_id': 1, 'constellation_name': 'S1-NG', 'num_sat': 2, 'num_planes': 1, 'rx_constellation': '1111', 'tle_file_name': None, 'obs_incl_angle_start': None, 'obs_incl_angle_stop': None, 'obs_swath_start': 325000.0, 'obs_swath_stop': 575000.0}
2019-05-29 15:28:31,610 - main - INFO - {'constellation_id': 1, 'constellation_name': 'S1-NG', 'sat_id': 1, 'plane': 1, 'name': '', 'rx_constellation': '1111', 'antenna_mask': [], 'antenna_mask_max': [], 'kepler': <segments.KeplerSet object at 0x11bb546a0>, 'tle_line1': '', 'tle_line2': '', 'posvel_eci': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'posvel_ecf': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'lla': [0.0, 0.0, 0.0], 'idx_stat_in_view': [], 'idx_sat_in_view': [], 'metric': [], 'obs_incl_angle_start': None, 'obs_incl_angle_stop': None, 'obs_swath_start': None, 'obs_swath_stop': None, 'p1': [0, 0, 0], 'p2': [0, 0, 0], 'p3': [0, 0, 0], 'p4': [0, 0, 0]}
2019-05-29 15:28:31,610 - main - INFO - {'constellation_id': 1, 'constellation_name': 'S1-NG', 'sat_id': 2, 'plane': 1, 'name': '', 'rx_constellation': '1111', 'antenna_mask': [], 'antenna_mask_max': [], 'kepler': <segments.KeplerSet object at 0x11bb5a940>, 'tle_line1': '', 'tle_line2': '', 'posvel_eci': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'posvel_ecf': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'lla': [0.0, 0.0, 0.0], 'idx_stat_in_view': [], 'idx_sat_in_view': [], 'metric': [], 'obs_incl_angle_start': None, 'obs_incl_angle_stop': None, 'obs_swath_start': None, 'obs_swath_stop': None, 'p1': [0, 0, 0], 'p2': [0, 0, 0], 'p3': [0, 0, 0], 'p4': [0, 0, 0]}
2019-05-29 15:28:31,611 - main - INFO - {'constellation_id': 1, 'station_id': 1, 'station_name': 'ALB', 'rx_constellation': '1', 'elevation_mask': [0.08726646259971647], 'el_mask_max': [1.5707963267948966], 'posvel_eci': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'posvel_ecf': [3420934.916457177, 597048.7200610382, 5331957.088686384, 0.0, 0.0, 0.0], 'lla': [0.9965830028887622, 0.17278759594743864, 0.0], 'idx_sat_in_view': []}
2019-05-29 15:28:32,378 - main - INFO - {'type': 'Grid', 'user_id': 43680, 'rx_constellation': '1111', 'elevation_mask': [0.08726646259971647], 'el_mask_max': [1.5707963267948966], 'posvel_eci': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'posvel_ecf': [-3197104.5869409614, 3.915323898936569e-10, 5500477.133889723, 0.0, 0.0, 0.0], 'norm_ecf': 0, 'lla': [1.0471975511965976, 3.141592653589793, 0.0], 'num_lat': 121, 'num_lon': 361, 'idx_sat_in_view': [], 'tle_file_name': '', 'kepler': <segments.KeplerSet object at 0x11f739080>, 'metric': [], 'UserName': 'Grid'}
2019-05-29 15:28:32,383 - main - INFO - Loaded simulation, start MJD: 55324.0, stop MJD: 55336.0, number of time steps: 120.0
2019-05-29 15:28:32,383 - main - INFO - Loaded 2 number of Station to Spacecraft links
2019-05-29 15:28:32,712 - main - INFO - Loaded 87362 number of User to Spacecraft links
2019-05-29 15:28:32,712 - main - INFO - Loaded 4 number of Spacecraft to Spacecraft links
2019-05-29 15:28:35,641 - main - INFO - Finished reading configuration file
2019-05-29 15:28:44,365 - main - INFO - Simulation time: 2010-05-08 01:12:00, time step: 36
2019-05-29 15:28:44,617 - main - INFO - Simulation time: 2010-05-08 01:14:00, time step: 37
2019-05-29 15:28:44,862 - main - INFO - Simulation time: 2010-05-08 01:16:00, time step: 38
2019-05-29 15:28:45,112 - main - INFO - Simulation time: 2010-05-08 01:18:00, time step: 39
2019-05-29 15:28:45,352 - main - INFO - Simulation time: 2010-05-08 01:20:00, time step: 40
2019-05-29 15:28:45,606 - main - INFO - Simulation time: 2010-05-08 01:22:00, time step: 41
2019-05-29 15:28:45,865 - main - INFO - Simulation time: 2010-05-08 01:24:00, time step: 42
2019-05-29 15:28:46,110 - main - INFO - Simulation time: 2010-05-08 01:26:00, time step: 43
2019-05-29 15:28:46,351 - main - INFO - Simulation time: 2010-05-08 01:28:00, time step: 44
2019-05-29 15:28:46,587 - main - INFO - Simulation time: 2010-05-08 01:30:00, time step: 45
2019-05-29 15:28:46,820 - main - INFO - Simulation time: 2010-05-08 01:32:00, time step: 46
2019-05-29 15:28:47,059 - main - INFO - Simulation time: 2010-05-08 01:34:00, time step: 47
2019-05-29 15:28:47,300 - main - INFO - Simulation time: 2010-05-08 01:36:00, time step: 48
2019-05-29 15:28:47,541 - main - INFO - Simulation time: 2010-05-08 01:38:00, time step: 49
2019-05-29 15:28:47,784 - main - INFO - Simulation time: 2010-05-08 01:40:00, time step: 50
2019-05-29 15:28:48,037 - main - INFO - Simulation time: 2010-05-08 01:42:00, time step: 51
2019-05-29 15:28:48,284 - main - INFO - Simulation time: 2010-05-08 01:44:00, time step: 52
2019-05-29 15:28:48,534 - main - INFO - Simulation time: 2010-05-08 01:46:00, time step: 53
2019-05-29 15:28:48,785 - main - INFO - Simulation time: 2010-05-08 01:48:00, time step: 54
2019-05-29 15:28:49,027 - main - INFO - Simulation time: 2010-05-08 01:50:00, time step: 55
2019-05-29 15:28:49,278 - main - INFO - Simulation time: 2010-05-08 01:52:00, time step: 56
2019-05-29 15:28:49,557 - main - INFO - Simulation time: 2010-05-08 01:54:00, time step: 57
2019-05-29 15:28:49,801 - main - INFO - Simulation time: 2010-05-08 01:56:00, time step: 58
2019-05-29 15:28:50,044 - main - INFO - Simulation time: 2010-05-08 01:58:00, time step: 59
2019-05-29 15:28:50,291 - main - INFO - Simulation time: 2010-05-08 02:00:00, time step: 60
2019-05-29 15:28:50,541 - main - INFO - Simulation time: 2010-05-08 02:02:00, time step: 61
2019-05-29 15:28:50,789 - main - INFO - Simulation time: 2010-05-08 02:04:00, time step: 62
2019-05-29 15:28:51,035 - main - INFO - Simulation time: 2010-05-08 02:06:00, time step: 63
2019-05-29 15:28:51,295 - main - INFO - Simulation time: 2010-05-08 02:08:00, time step: 64
2019-05-29 15:28:51,534 - main - INFO - Simulation time: 2010-05-08 02:10:00, time step: 65
2019-05-29 15:28:51,786 - main - INFO - Simulation time: 2010-05-08 02:12:00, time step: 66
2019-05-29 15:28:52,030 - main - INFO - Simulation time: 2010-05-08 02:14:00, time step: 67
2019-05-29 15:28:52,271 - main - INFO - Simulation time: 2010-05-08 02:16:00, time step: 68
2019-05-29 15:28:52,508 - main - INFO - Simulation time: 2010-05-08 02:18:00, time step: 69
2019-05-29 15:28:52,750 - main - INFO - Simulation time: 2010-05-08 02:20:00, time step: 70
2019-05-29 15:28:52,991 - main - INFO - Simulation time: 2010-05-08 02:22:00, time step: 71
